vehicle_maker,number_of_customers
MG,1
Citro�n,1
Austin,1
Daewoo,1
Ram,1
MINI,2
"Aston Martin",2
Rolls-Royce,2
Saturn,2
Morgan,3
Scion,3
Maybach,3
Geo,4
Lotus,4
Eagle,4
Maserati,6
Ferrari,6
Bentley,6
Porsche,7
Lamborghini,8
Plymouth,8
"Land Rover",10
Saab,11
Acura,11
Jeep,11
Oldsmobile,12
Jaguar,13
Chrysler,14
Hyundai,14
Mercury,15
Kia,16
Lincoln,16
Infiniti,16
Isuzu,18
Lexus,18
Cadillac,18
Honda,19
Suzuki,22
Subaru,22
Audi,25
Volvo,26
BMW,28
Nissan,31
Volkswagen,35
GMC,37
Buick,40
Mitsubishi,41
Mazda,43
Mercedes-Benz,45
Pontiac,50
Dodge,50
Toyota,52
Ford,63
Chevrolet,83
